0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
0.10101, -11.5, -7.93069, -5.51852, -3.90767, -3.16614, -4.00511, -4.23734, -3.95, -2.86667, -3.76307, -4, -3.54678, -3.56093, -3.88296, -3.81742, -3.787, -3.32487, -3.86667, -3.36555, -3.3896, -3.23149, -3.63101, -3.41571, -3.14348, -3.00614, -3.43983, -3.39677, -3.36262, -3.13704, -3.25947, -3.05005, -3.15671, -3.17621, -3.12452, -3.50433, -3.00932, -2.80415, -3.24278, -3.31183, -3.29532, -3.26692, -3.25396, -3.36456, -2.93717, -2.73195, -2.82105, -3.18947, -3.05988, -3.18868, -3.29974, -3.27404, -3.31651, -2.95219, -3.04221, -3.05413, -3.02031, -3.00224, -3.17542, -3.10688, -2.97191, -3.10466, -3.01766, -2.88692, -2.93796, -3.00018, -3.07019, -2.94897, -2.90539, -3.04912, -3.08256, -3.00505, -2.91414, -2.89647, -2.99968, -2.95082, -2.91656, -2.93685, -2.96692, -3.07579, -2.92486, -2.93814, -2.93708, -2.92278, -3.05884, -2.99691, -2.98453, -2.95646, -2.98855, -2.89966, -2.97866, -2.89878, -2.89242, -2.92037, -2.92921, -2.99024, -2.86505, -2.95658, -2.96237, -2.94943, -2.89153
0.111111, -12.1111, -7.96534, -4.93333, -5.39801, -4.09841, -4.63333, -4.13734, -3.74034, -3.69571, -3.61921, -3.54735, -3.43267, -3.89406, -3.64229, -3.35333, -3.187, -3.43425, -3.11408, -2.98421, -3.13258, -2.91721, -2.90837, -3.21528, -2.72178, -3.18974, -2.85175, -2.68053, -2.86913, -2.75462, -2.81614, -2.88668, -2.93171, -2.88041, -2.73917, -2.8142, -2.98817, -2.72264, -2.77144, -2.86522, -2.87299, -2.61939, -2.87996, -2.92086, -2.77585, -2.49058, -2.80172, -2.79197, -2.57195, -2.70889, -2.7763, -2.8346, -2.60726, -2.64164, -2.73975, -2.66191, -2.49473, -2.71917, -2.85688, -2.60873, -2.71729, -2.71076, -2.81298, -2.8223, -2.78317, -2.58122, -2.6311, -2.5494, -2.68762, -2.70735, -2.61586, -2.70869, -2.72635, -2.54835, -2.65633, -2.53398, -2.73788, -2.67291, -2.68408, -2.64876, -2.71765, -2.53527, -2.60382, -2.55204, -2.6413, -2.50408, -2.56523, -2.60111, -2.48355, -2.68754, -2.52321, -2.66108, -2.66102, -2.63421, -2.68909, -2.56233, -2.58507, -2.61808, -2.61327, -2.80134, -2.56923
0.121212, -8.22222, -4.81534, -5.2769, -2.71534, -4.52614, -3.11023, -3.25162, -3.57784, -4.15897, -2.57208, -4.12097, -3.01922, -2.84021, -3.02524, -3.14818, -2.72259, -3.30949, -2.61128, -2.49906, -2.46421, -2.25583, -2.29568, -2.33633, -2.80062, -2.70182, -2.59132, -2.50715, -2.67691, -2.7605, -2.49215, -2.72408, -2.57172, -2.55602, -2.59482, -2.59318, -2.4566, -2.7586, -2.57285, -2.4785, -2.64089, -2.40111, -2.48875, -2.36546, -2.47581, -2.46588, -2.41014, -2.37375, -2.33348, -2.44504, -2.55471, -2.42126, -2.32624, -2.40953, -2.37512, -2.39033, -2.54307, -2.28311, -2.435, -2.38647, -2.38379, -2.32912, -2.44799, -2.4423, -2.48201, -2.43353, -2.32996, -2.34828, -2.38966, -2.4355, -2.3099, -2.28623, -2.2037, -2.39202, -2.40336, -2.25927, -2.36235, -2.26809, -2.32756, -2.33206, -2.34483, -2.31092, -2.24286, -2.37187, -2.33221, -2.42338, -2.42594, -2.30004, -2.35699, -2.3261, -2.20753, -2.34082, -2.27085, -2.41215, -2.25057, -2.35826, -2.44022, -2.31435, -2.32428, -2.30378, -2.38863
0.131313, -5.88889, -4.31534, -4.91023, -4, -3.00455, -3.63169, -2.49773, -2.87401, -2.86237, -2.90208, -3.82727, -2.30511, -3.07791, -3.00877, -2.53881, -2.49325, -2.36139, -2.23889, -2.35925, -2.31962, -2.01977, -2.30792, -2.65884, -2.43816, -2.31612, -2.44337, -2.4846, -2.35655, -2.69945, -2.2329, -2.27586, -2.29613, -2.44531, -2.32577, -2.14669, -2.43011, -2.32093, -2.32968, -2.40703, -2.22666, -2.20739, -2.35257, -2.25181, -2.26148, -2.25553, -2.366, -2.25848, -2.19369, -2.16304, -2.27101, -2.04681, -2.28633, -2.30207, -2.10132, -2.26108, -2.07733, -2.15055, -2.21882, -2.26668, -2.19094, -2.12832, -2.18261, -2.18249, -2.16409, -2.10446, -2.19673, -2.22658, -2.10039, -2.15522, -2.13314, -2.09862, -2.10667, -2.14592, -2.22773, -2.05626, -2.06871, -2.16217, -2.1203, -2.0637, -2.03831, -1.9661, -2.18614, -2.13195, -2.12637, -2.13931, -2.08314, -2.09348, -2.06332, -2.12206, -2.04606, -2.11826, -1.97404, -2.01827, -2.01743, -2.11433, -2.09238, -2.10316, -2.13911, -2.08724, -2.09702
0.141414, -5.875, -3.16667, -4.37096, -3.03267, -3.35841, -2.63712, -2.94286, -3.14134, -2.33586, -2.67841, -2.30279, -2.4769, -2.6655, -2.43663, -1.95023, -2.187, -2.57781, -2.3846, -2.39693, -2.37421, -2.36445, -2.21152, -2.25799, -2.25557, -2.01045, -1.98865, -2.26401, -2.0762, -2.08955, -2.14779, -1.96634, -1.97209, -2.27176, -1.98634, -1.94733, -2.07702, -2.07123, -2.29953, -2.00353, -2.02097, -2.04064, -1.97711, -2.08081, -1.99696, -2.1295, -2.00185, -2.06037, -1.92424, -1.92748, -1.9543, -2.1458, -1.89535, -1.98731, -2.05851, -1.95487, -1.93365, -2.08749, -2.02313, -2.07792, -2.06635, -1.97817, -2.03584, -1.98539, -1.96739, -1.90058, -1.92557, -1.94587, -1.93397, -1.96157, -1.93676, -1.99905, -1.8953, -1.94314, -2.03148, -1.96374, -1.98102, -1.92012, -1.90904, -1.92335, -1.98819, -1.86356, -1.89047, -1.86193, -1.88591, -1.8697, -1.91479, -1.91081, -1.98498, -1.92694, -1.90232, -1.91932, -1.86739, -1.88648, -1.98709, -1.85301, -1.80504, -1.94581, -1.83968, -1.83262, -1.87611
0.151515, -6.88889, -3.41534, -3.55556, -3.225, -3.07227, -2.8137, -2.60438, -2.44901, -2.36898, -2.23614, -2.17651, -2.57096, -2.14318, -2.68444, -2.55881, -2.64761, -2.25069, -1.8803, -2.00078, -1.79034, -1.96737, -1.89194, -1.9502, -2.22232, -1.92297, -1.90442, -2.29362, -1.88409, -1.86253, -1.86145, -2.07336, -1.9436, -1.96384, -1.87956, -1.94023, -1.89772, -1.81421, -1.73544, -1.93503, -2.18891, -1.81657, -1.94397, -1.75323, -1.83245, -1.84682, -1.81191, -1.78119, -1.83499, -1.87745, -1.78778, -1.74772, -1.79954, -1.67204, -1.85709, -1.90123, -1.75925, -1.70156, -1.7171, -1.70087, -1.72546, -1.80692, -1.81649, -1.7735, -1.75637, -1.75991, -1.74029, -1.76656, -1.7492, -1.72397, -1.8753, -1.80809, -1.6979, -1.8188, -1.76705, -1.77611, -1.71115, -1.6827, -1.68196, -1.64017, -1.80208, -1.65498, -1.771, -1.73166, -1.80405, -1.73542, -1.78153, -1.69701, -1.80022, -1.79325, -1.68504, -1.72117, -1.74246, -1.61053, -1.68754, -1.70425, -1.71248, -1.69392, -1.68315, -1.67885, -1.71812
0.161616, -6.4, -4.77336, -2.62411, -2.025, -2.80614, -2.3089, -2.34031, -2.27884, -1.89802, -2.16307, -2.11746, -1.93763, -1.92247, -1.78388, -2.2728, -1.83892, -1.65265, -1.9346, -1.80768, -1.76371, -1.85361, -1.82323, -1.81803, -1.75511, -1.91291, -1.72327, -1.71764, -1.59049, -1.77224, -1.81828, -1.81399, -1.70393, -1.77474, -1.79962, -1.81246, -1.6283, -1.63527, -1.61262, -1.59053, -1.65242, -1.71594, -1.68399, -1.59772, -1.70216, -1.7301, -1.61128, -1.72118, -1.60726, -1.6944, -1.62236, -1.58134, -1.56158, -1.64006, -1.61505, -1.55464, -1.61038, -1.68549, -1.61016, -1.66193, -1.6247, -1.67129, -1.50779, -1.57686, -1.60344, -1.5043, -1.48077, -1.65051, -1.57616, -1.64261, -1.56227, -1.56101, -1.54257, -1.60354, -1.68294, -1.61874, -1.50358, -1.61536, -1.64204, -1.61755, -1.62858, -1.61084, -1.52721, -1.63081, -1.51515, -1.51173, -1.55645, -1.6042, -1.53901, -1.61288, -1.51684, -1.50497, -1.52558, -1.47025, -1.52066, -1.58588, -1.55236, -1.58952, -1.61048, -1.54423, -1.53599
0.171717, -7.125, -2.74603, -2.14815, -2.34801, -2.90614, -1.92046, -2.50438, -1.87884, -2.53135, -2.04208, -2.24852, -1.44448, -1.91241, -1.71464, -1.6769, -1.36473, -1.83547, -1.89015, -1.5198, -1.52025, -1.57543, -1.65293, -1.65583, -1.65805, -1.53833, -1.48785, -1.51947, -1.60552, -1.58667, -1.57663, -1.66119, -1.52308, -1.41766, -1.69697, -1.64014, -1.48785, -1.6082, -1.43836, -1.51666, -1.48545, -1.46371, -1.49024, -1.61079, -1.50437, -1.5198, -1.48226, -1.53717, -1.5522, -1.50303, -1.5297, -1.51796, -1.5519, -1.45036, -1.48906, -1.46851, -1.39816, -1.48965, -1.45521, -1.4514, -1.42485, -1.4505, -1.41254, -1.43022, -1.42473, -1.55371, -1.46123, -1.50969, -1.42595, -1.45793, -1.45489, -1.44506, -1.55841, -1.39655, -1.36539, -1.49684, -1.49648, -1.45937, -1.45687, -1.45861, -1.39441, -1.40431, -1.43226, -1.45586, -1.48313, -1.47819, -1.50383, -1.53497, -1.51175, -1.45796, -1.43351, -1.5273, -1.47885, -1.40232, -1.40476, -1.41557, -1.3757, -1.44811, -1.44826, -1.45346, -1.45158
0.181818, -4.125, -4.06534, -2.2963, -2.94034, -2.01841, -1.89356, -2.09887, -2.2, -2.22134, -1.84743, -1.80837, -1.92591, -1.88721, -1.76902, -1.49076, -1.28731, -1.45381, -1.35242, -1.55654, -1.64466, -1.75309, -1.40103, -1.24361, -1.35784, -1.70827, -1.84204, -1.43615, -1.48306, -1.4583, -1.51495, -1.35395, -1.53784, -1.54056, -1.42321, -1.37942, -1.50739, -1.53653, -1.42174, -1.47109, -1.5125, -1.44816, -1.46884, -1.30287, -1.40465, -1.27705, -1.22794, -1.296, -1.36956, -1.3833, -1.42336, -1.32901, -1.38043, -1.37261, -1.34459, -1.42405, -1.4363, -1.26548, -1.443, -1.34951, -1.38308, -1.32362, -1.39343, -1.43388, -1.23383, -1.35965, -1.35132, -1.35246, -1.38947, -1.30102, -1.32105, -1.4381, -1.35733, -1.37691, -1.26234, -1.33031, -1.32299, -1.34989, -1.35623, -1.37315, -1.33599, -1.32024, -1.31088, -1.34002, -1.32594, -1.27975, -1.31819, -1.30598, -1.3241, -1.30776, -1.34775, -1.33673, -1.4215, -1.29956, -1.28614, -1.26291, -1.30066, -1.3038, -1.24588, -1.38549, -1.24819
0.191919, -6.5, -4.16534, -1.73069, -2.60767, -2.07644, -2.08548, -1.90304, -2.24901, -1.4769, -1.44148, -2.01918, -1.9269, -1.31638, -1.49159, -1.51366, -1.67642, -1.18986, -1.52586, -1.30381, -1.32669, -1.64984, -1.33204, -1.2712, -1.55854, -1.51004, -1.35156, -1.53209, -1.45806, -1.38426, -1.20264, -1.17215, -1.32525, -1.40963, -1.49854, -1.3844, -1.41078, -1.31627, -1.40076, -1.35687, -1.33773, -1.4205, -1.22532, -1.23237, -1.37069, -1.34136, -1.29759, -1.10451, -1.27568, -1.29847, -1.26804, -1.26793, -1.32147, -1.27924, -1.24891, -1.23136, -1.2632, -1.28906, -1.3192, -1.17885, -1.28638, -1.24981, -1.28272, -1.30151, -1.33567, -1.30789, -1.30395, -1.21559, -1.24291, -1.24778, -1.22486, -1.21463, -1.30125, -1.23745, -1.31243, -1.27555, -1.29559, -1.2026, -1.31088, -1.19644, -1.19532, -1.18797, -1.27404, -1.23449, -1.18201, -1.23794, -1.16026, -1.1813, -1.2275, -1.19356, -1.24093, -1.18695, -1.22558, -1.20119, -1.25196, -1.27376, -1.21723, -1.20696, -1.17135, -1.2398, -1.21413
