0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
0.5, 0, 0.138629, 0.398169, 0, 0.277259, 0, 0, 0.137327, 0, 0, 0, 0, 0.169017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.505051, 0, 0.173287, 0.298627, 0.216608, 0.119451, 0.192541, 0.099021, 0.0866434, 0, 0, 0.11295, 0.0746566, 0, 0.127983, 0, 0, 0, 0.199084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.138236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.510101, 0, 0.0693147, 0.231049, 0.103972, 0.138629, 0.215067, 0.198042, 0.230555, 0.0770164, 0.119451, 0.11295, 0.213746, 0, 0, 0, 0, 0, 0.185122, 0, 0.213833, 0, 0, 0, 0, 0, 0, 0.107051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.515152, 0, 0.0866434, 0.0462098, 0.138629, 0.16566, 0.103538, 0, 0.216608, 0.115525, 0, 0, 0, 0, 0.0247553, 0, 0.121619, 0, 0, 0.265782, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.520202, 0, 0.0693147, 0.154033, 0.0866434, 0.0462098, 0, 0.208668, 0.0433217, 0.0385082, 0.256495, 0.252054, 0, 0.106638, 0, 0, 0, 0, 0.0770164, 0, 0, 0.146995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.525253, 0, 0.0577623, 0.231049, 0.137327, 0.210931, 0, 0.187979, 0.18397, 0, 0, 0, 0.132419, 0, 0, 0.192691, 0.0649825, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0619015, 0, 0, 0, 0, 0.140539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.530303, 0, 0.231049, 0.154033, 0.346574, 0, 0.183102, 0.198042, 0.246906, 0.388501, 0.0693147, 0, 0, 0, 0, 0, 0, 0.146171, 0, 0.0943031, 0.195601, 0.203651, 0, 0, 0, 0, 0, 0.211985, 0, 0.165086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.535354, 0, 0.0866434, 0.184839, 0.173287, 0.248491, 0.231049, 0.127983, 0.0866434, 0, 0, 0, 0, 0.289323, 0.156945, 0.192691, 0.0686633, 0.223921, 0, 0, 0.124245, 0, 0, 0, 0, 0, 0, 0, 0, 0.173237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.540404, 0, 0, 0.0770164, 0, 0.0693147, 0, 0.342556, 0, 0, 0.146068, 0, 0.173287, 0, 0, 0, 0, 0.0946728, 0.227464, 0.0578217, 0, 0.21735, 0.217613, 0, 0, 0, 0, 0, 0, 0, 0, 0.203487, 0, 0, 0, 0, 0, 0, 0.22029, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.545455, 0, 0.115525, 0.202168, 0.173287, 0.0346574, 0.149313, 0, 0.173287, 0.0770164, 0.109861, 0.204537, 0.225671, 0, 0.215382, 0, 0, 0, 0.13805, 0, 0, 0, 0, 0, 0.280558, 0, 0, 0.138432, 0, 0, 0, 0, 0.293207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
